Name,Value,Team
Arnaut Danjuma,10450000.0,AFC Bournemouth
Junior Stanislas,2200000.0,AFC Bournemouth
Jordon Ibe,5280000.0,AFC Bournemouth
Joshua King,17600000.0,AFC Bournemouth
Callum Wilson,26400000.0,AFC Bournemouth
Dominic Solanke,13200000.0,AFC Bournemouth
Jermain Defoe,1540000.0,AFC Bournemouth
Sam Surridge,495000.0,AFC Bournemouth
Martin Dubravka,6050000.0,Newcastle United
Freddie Woodman,3520000.0,Newcastle United
Karl Darlow,2640000.0,Newcastle United
Rob Elliot,660000.0,Newcastle United
Jamaal Lascelles,15950000.0,Newcastle United
Fabian Schär,14300000.0,Newcastle United
Paul Dummett,6050000.0,Newcastle United
Federico Fernández,6050000.0,Newcastle United
Ciaran Clark,5280000.0,Newcastle United
Florian Lejeune,5280000.0,Newcastle United
Danny Rose,17600000.0,Newcastle United
Matt Ritchie,10450000.0,Newcastle United
Jetro Willems,6050000.0,Newcastle United
DeAndre Yedlin,7150000.0,Newcastle United
Emil Krafth,4400000.0,Newcastle United
Javier Manquillo,4400000.0,Newcastle United
Jamie Sterry,83000.0,Newcastle United
Isaac Hayden,8800000.0,Newcastle United
Matthew Longstaff,3960000.0,Newcastle United
Jack Colback,1760000.0,Newcastle United
Sean Longstaff,19250000.0,Newcastle United
Jonjo Shelvey,15950000.0,Newcastle United
Nabil Bentaleb,4400000.0,Newcastle United
Dan Barlaser,0,Newcastle United
Valentino Lazaro,16500000.0,Newcastle United
Miguel Almirón,17600000.0,Newcastle United
Henri Saivet,880000.0,Newcastle United
Allan Saint-Maximin,22000000.0,Newcastle United
Christian Atsu,5280000.0,Newcastle United
Rolando Aarons,440000.0,Newcastle United
Jacob Murphy,3850000.0,Newcastle United
Joelinton,22000000.0,Newcastle United
Dwight Gayle,10450000.0,Newcastle United
Yoshinori Muto,6050000.0,Newcastle United
Andy Carroll,3520000.0,Newcastle United
Tom Heaton,5280000.0,Aston Villa
Jed Steer,1320000.0,Aston Villa
Örjan Nyland,1320000.0,Aston Villa
Pepe Reina,715000.0,Aston Villa
Matija Sarkic,110000.0,Aston Villa
Tyrone Mings,24750000.0,Aston Villa
Björn Engels,10450000.0,Aston Villa
Ezri Konsa,7150000.0,Aston Villa
Kortney Hause,7150000.0,Aston Villa
James Chester,2640000.0,Aston Villa
Matt Targett,11550000.0,Aston Villa
Neil Taylor,3080000.0,Aston Villa
Frédéric Guilbert,7700000.0,Aston Villa
Ahmed Elmohamady,2200000.0,Aston Villa
James Bree,1320000.0,Aston Villa
Marvelous Nakamba,8800000.0,Aston Villa
Douglas Luiz,19800000.0,Aston Villa
John McGinn,17600000.0,Aston Villa
Conor Hourihane,6600000.0,Aston Villa
Danny Drinkwater,5280000.0,Aston Villa
Henri Lansbury,1320000.0,Aston Villa
Jack Grealish,33549999.999999996,Aston Villa
Trezeguet,8800000.0,Aston Villa
Andre Green,1980000.0,Aston Villa
Anwar El Ghazi,8800000.0,Aston Villa
Jota,3850000.0,Aston Villa
Wesley,26400000.0,Aston Villa
Mbwana Samatta,10450000.0,Aston Villa
Scott Hogan,3520000.0,Aston Villa
Borja Bastón,3520000.0,Aston Villa
Keinan Davis,2530000.0,Aston Villa
Rushian Hepburn-Murphy,990000.0,Aston Villa
Mathew Ryan,8800000.0,Brighton & Hove Albion
David Button,1320000.0,Brighton & Hove Albion
Christian Walton,880000.0,Brighton & Hove Albion
Jason Steele,660000.0,Brighton & Hove Albion
Lewis Dunk,17600000.0,Brighton & Hove Albion
Adam Webster,13200000.0,Brighton & Hove Albion
Shane Duffy,10450000.0,Brighton & Hove Albion
Dan Burn,4400000.0,Brighton & Hove Albion
Matt Clarke,2200000.0,Brighton & Hove Albion
Leon Balogun,880000.0,Brighton & Hove Albion
Bernardo,5280000.0,Brighton & Hove Albion
Martín Montoya,7150000.0,Brighton & Hove Albion
Tariq Lamptey,3520000.0,Brighton & Hove Albion
Ezequiel Schelotto,1320000.0,Brighton & Hove Albion
Davy Pröpper,14850000.0,Brighton & Hove Albion
Yves Bissouma,10450000.0,Brighton & Hove Albion
Pascal Groß,10450000.0,Brighton & Hove Albion
Aaron Mooy,10450000.0,Brighton & Hove Albion
Dale Stephens,5280000.0,Brighton & Hove Albion
Beram Kayal,1320000.0,Brighton & Hove Albion
Solly March,7150000.0,Brighton & Hove Albion
Alexis Mac Allister,12100000.0,Brighton & Hove Albion
Steven Alzate,2530000.0,Brighton & Hove Albion
Leandro Trossard,14300000.0,Brighton & Hove Albion
José Izquierdo,7150000.0,Brighton & Hove Albion
Anthony Knockaert,7150000.0,Brighton & Hove Albion
Alireza Jahanbakhsh,7150000.0,Brighton & Hove Albion
Neal Maupay,19250000.0,Brighton & Hove Albion
Aaron Connolly,4400000.0,Brighton & Hove Albion
Jan Mlakar,1980000.0,Brighton & Hove Albion
Glenn Murray,1760000.0,Brighton & Hove Albion
Angus Gunn,7150000.0,Southampton FC
Alex McCarthy,4400000.0,Southampton FC
Jack Rose,110000.0,Southampton FC
Jannik Vestergaard,13200000.0,Southampton FC
Jan Bednarek,13200000.0,Southampton FC
Kevin Danso,6930000.0,Southampton FC
Jack Stephens,6050000.0,Southampton FC
Ryan Bertrand,11550000.0,Southampton FC
Sam McQueen,880000.0,Southampton FC
Cédric Soares,8800000.0,Southampton FC
Yan Valery,6930000.0,Southampton FC
Oriol Romeu,8800000.0,Southampton FC
Harrison Reed,2640000.0,Southampton FC
James Ward-Prowse,15950000.0,Southampton FC
Pierre-Emile Höjbjerg,13200000.0,Southampton FC
Stuart Armstrong,7150000.0,Southampton FC
Jake Hesketh,220000.0,Southampton FC
Nathan Redmond,17600000.0,Southampton FC
Moussa Djenepo,12100000.0,Southampton FC
Mohamed Elyounoussi,10450000.0,Southampton FC
Sofiane Boufal,8800000.0,Southampton FC
Danny Ings,19250000.0,Southampton FC
Che Adams,10450000.0,Southampton FC
Michael Obafemi,4950000.0,Southampton FC
Shane Long,3080000.0,Southampton FC
Name,Value,Team
