Name,Position,Market Value,Actual Fee,New Team,Old Team
Patrice Evra,LB,1100000.0,0,Without Club,West Ham United
James Collins,CB,1100000.0,0,Without Club,West Ham United
Gerard Deulofeu,LW,15400000.0,14300000.0,Watford FC,FC Barcelona
Adam Masina,LB,7700000.0,5500000.0,Watford FC,Bologna
Ben Foster,GK,3300000.0,3080000.0,Watford FC,West Brom
Filip Stuparevic,CF,770000.0,2480000.0,Watford FC,Vozdovac
Ken Sema,LM,1100000.0,2480000.0,Watford FC,Östersund
Marc Navarro,RB,2200000.0,2200000.0,Watford FC,Espanyol
Ben Wilmot,CB,0,1870000.0,Watford FC,Stevenage
Domingos Quina,CM,0,1210000.0,Watford FC,West Ham
Louis Yamfam,Midfielder,0,0,Watford FC,Royston Town
Kwasi Sibo,CM,220000.0,0,Watford FC,Banants
Richarlison,CF,27500000.0,43120000.0,Everton,Watford FC
Nordin Amrabat,RW,3300000.0,9350000.0,Al-Nassr,Watford FC
Mauro Zárate,CF,2200000.0,2530000.0,Boca Juniors,Watford FC
Valber Huerta,CB,633000.0,484000.0,CDUC,Watford FC
Brice Dja Djédjé,DM,1100000.0,0,Ankaragücü,Watford FC
Costel Pantilimon,GK,1650000.0,0,Nottm Forest,Watford FC
Younès Kaboul,CB,1650000.0,0,Without Club,Watford FC
Alireza Jahanbakhsh,RW,19800000.0,20900000.0,Brighton & Hove Albion,AZ Alkmaar
Yves Bissouma,CM,8800000.0,18590000.0,Brighton & Hove Albion,LOSC Lille
Bernardo,LB,6600000.0,11000000.0,Brighton & Hove Albion,RB Leipzig
Alexis Mac Allister,AM,5500000.0,8800000.0,Brighton & Hove Albion,Argentinos Jrs.
Martín Montoya,RB,8800000.0,7700000.0,Brighton & Hove Albion,Valencia
Florin Andone,CF,6600000.0,6600000.0,Brighton & Hove Albion,Dep. La Coruña
David Button,GK,1650000.0,4950000.0,Brighton & Hove Albion,Fulham
Dan Burn,CB,825000.0,3630000.0,Brighton & Hove Albion,Wigan
Percy Tau,CF,2200000.0,3520000.0,Brighton & Hove Albion,Sundowns
Jan Mlakar,CF,825000.0,3300000.0,Brighton & Hove Albion,NK Maribor
Tudor Baluta,DM,1430000.0,3190000.0,Brighton & Hove Albion,FC Viitorul
Anders Dreyer,RW,660000.0,2420000.0,Brighton & Hove Albion,Esbjerg fB
Peter Gwargis,LW,28000.0,1650000.0,Brighton & Hove Albion,Jönköping
Billy Arce,LW,1100000.0,946000.0,Brighton & Hove Albion,Independiente
Leon Balogun,CB,2200000.0,0,Brighton & Hove Albion,1.FSV Mainz 05
Jason Steele,GK,825000.0,0,Brighton & Hove Albion,Sunderland
Leo Östigard,CB,55000.0,0,Brighton & Hove Albion,Molde FK
Sam Baldock,CF,3300000.0,4290000.0,Reading,Brighton & Hove Albion
Connor Goldson,CB,1100000.0,3740000.0,Rangers,Brighton & Hove Albion
Oliver Norwood,CM,3300000.0,2420000.0,Sheffield Utd.,Brighton & Hove Albion
Mathias Normann,CM,440000.0,1870000.0,Rostov,Brighton & Hove Albion
Jamie Murphy,LW,1930000.0,1320000.0,Rangers,Brighton & Hove Albion
Jiri Skalak,LW,1650000.0,1100000.0,Millwall,Brighton & Hove Albion
Uwe Hünemeier,CB,1100000.0,0,SC Paderborn,Brighton & Hove Albion
Tyler Hornby-Forbes,RB,110000.0,0,Newport County,Brighton & Hove Albion
Tim Krul,GK,2750000.0,0,Norwich,Brighton & Hove Albion
Niki Mäenpää,GK,275000.0,0,Bristol City,Brighton & Hove Albion
Rohan Ince,DM,550000.0,0,Without Club,Brighton & Hove Albion
Liam Rosenior,RB,1100000.0,0,Retired,Brighton & Hove Albion
Steve Sidwell,CM,1100000.0,0,Retired,Brighton & Hove Albion
Terence Kongolo,CB,11000000.0,22000000.0,Huddersfield Town,Monaco
Adama Diakhaby,LW,5500000.0,11000000.0,Huddersfield Town,Monaco
Ramadan Sobhi,LW,7700000.0,7150000.0,Huddersfield Town,Stoke City
Florent Hadergjonaj,RB,5500000.0,5500000.0,Huddersfield Town,FC Ingolstadt
Juninho Bacuna,CM,1650000.0,2750000.0,Huddersfield Town,FC Groningen
Jonas Lössl,GK,5500000.0,2750000.0,Huddersfield Town,1.FSV Mainz 05
Karlan Grant,CF,220000.0,1870000.0,Huddersfield Town,Charlton
Ben Hamer,GK,550000.0,0,Huddersfield Town,Leicester
Erik Durm,LB,1100000.0,0,Huddersfield Town,Bor. Dortmund
Tom Ince,RW,8800000.0,12320000.0,Stoke City,Huddersfield Town
Michael Hefele,CB,1650000.0,363000.0,Nottm Forest,Huddersfield Town
Tareiq Holmes-Dennis,LB,275000.0,0,Bristol Rovers,Huddersfield Town
Jordy Hiwula,CF,275000.0,0,Coventry,Huddersfield Town
Sean Scannell,RW,550000.0,0,Bradford,Huddersfield Town
Rob Green,GK,275000.0,0,Chelsea,Huddersfield Town
Scott Malone,LB,3300000.0,0,Derby,Huddersfield Town
