Name,Value,Team
Dominic Calvert-Lewin,16500000.0,Everton FC
Sandro Ramírez,11000000.0,Everton FC
Oumar Niasse,8800000.0,Everton FC
Shayne Lavery,0,Everton FC
Joe Hart,11000000.0,West Ham United
Adrián,5500000.0,West Ham United
Nathan Trott,0,West Ham United
Angelo Ogbonna,9900000.0,West Ham United
Winston Reid,7700000.0,West Ham United
Reece Oxford,5500000.0,West Ham United
José Fonte,2200000.0,West Ham United
Reece Burke,1100000.0,West Ham United
James Collins,1100000.0,West Ham United
Josh Pask,110000.0,West Ham United
Aaron Cresswell,13200000.0,West Ham United
Arthur Masuaku,7700000.0,West Ham United
Patrice Evra,1100000.0,West Ham United
Vashon Neufville,0,West Ham United
Pablo Zabaleta,5500000.0,West Ham United
Sam Byram,4400000.0,West Ham United
Ben Johnson,0,West Ham United
Cheikhou Kouyaté,13200000.0,West Ham United
Declan Rice,11000000.0,West Ham United
João Mário,27500000.0,West Ham United
Pedro Obiang,8800000.0,West Ham United
Mark Noble,7700000.0,West Ham United
Edimilson Fernandes,5500000.0,West Ham United
Josh Cullen,1100000.0,West Ham United
Moses Makasi,0,West Ham United
Domingos Quina,0,West Ham United
Sead Haksabanovic,1650000.0,West Ham United
Manuel Lanzini,22000000.0,West Ham United
Marcus Browne,275000.0,West Ham United
André Ayew,16500000.0,West Ham United
Nathan Holland,0,West Ham United
Michail Antonio,16500000.0,West Ham United
Robert Snodgrass,7700000.0,West Ham United
Grady Diangana,0,West Ham United
Marko Arnautovic,27500000.0,West Ham United
Chicharito,16500000.0,West Ham United
Andy Carroll,11000000.0,West Ham United
Jordan Hugill,8800000.0,West Ham United
Diafra Sakho,5500000.0,West Ham United
Toni Martínez,1650000.0,West Ham United
Martin Samuelsen,275000.0,West Ham United
Name,Value,Team
Name,Value,Team
Kasper Schmeichel,11000000.0,Leicester City
Eldin Jakupovic,1100000.0,Leicester City
Ben Hamer,550000.0,Leicester City
Harry Maguire,27500000.0,Leicester City
Aleksandar Dragovic,11000000.0,Leicester City
Wes Morgan,3300000.0,Leicester City
Robert Huth,2750000.0,Leicester City
Yohan Benalouane,1100000.0,Leicester City
Sam Hughes,0,Leicester City
Ben Chilwell,8800000.0,Leicester City
Christian Fuchs,5500000.0,Leicester City
Danny Simpson,5500000.0,Leicester City
Josh Knight,0,Leicester City
Wilfred Ndidi,27500000.0,Leicester City
Nampalys Mendy,5500000.0,Leicester City
Daniel Amartey,5500000.0,Leicester City
Hamza Choudhury,1100000.0,Leicester City
Adrien Silva,22000000.0,Leicester City
Vicente Iborra,11000000.0,Leicester City
Andy King,3300000.0,Leicester City
Matty James,1650000.0,Leicester City
Marc Albrighton,11000000.0,Leicester City
Harvey Barnes,275000.0,Leicester City
George Thomas,550000.0,Leicester City
Demarai Gray,22000000.0,Leicester City
Ahmed Musa,16500000.0,Leicester City
Layton Ndukwu,0,Leicester City
Riyad Mahrez,55000000.0,Leicester City
Fousseni Diabaté,3300000.0,Leicester City
Jamie Vardy,22000000.0,Leicester City
Islam Slimani,19800000.0,Leicester City
Kelechi Iheanacho,16500000.0,Leicester City
Shinji Okazaki,6600000.0,Leicester City
Leonardo Ulloa,5500000.0,Leicester City
Fraser Forster,16500000.0,Southampton FC
Alex McCarthy,2750000.0,Southampton FC
Stuart Taylor,275000.0,Southampton FC
Virgil van Dijk,55000000.0,Southampton FC
Wesley Hoedt,16500000.0,Southampton FC
Jack Stephens,8800000.0,Southampton FC
Maya Yoshida,7700000.0,Southampton FC
Jan Bednarek,5500000.0,Southampton FC
Ryan Bertrand,22000000.0,Southampton FC
Matt Targett,3300000.0,Southampton FC
Sam McQueen,1100000.0,Southampton FC
Cédric Soares,16500000.0,Southampton FC
